state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.ucld.mean	default.ucld.stdev	binary_loc.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	binary_loc.meanRate	binary_loc.rates.Other.PEAL	binary_loc.rates.PEAL.Other	default.treeLikelihood	default.branchRates	binary_loc.branchRates	c_binary_loc.count[1]	c_binary_loc.OthertoPEAL[1]	c_binary_loc.PEALtoOther[1]	coalescent
32270000	-16096.005907085186	-967.1286503262547	-15128.877256758931	0.3537207424405651	2017.7092929561895	4.871653869471941	5.384226280908792	14.882363725291066	14.650756131008205	0.2696890185646617	0.2089841436549789	0.29015350402464163	0.23117333375571317	0.0026131014887878497	0.009075845592457853	1.2339351670694112	0.0017711299724947845	1.558489524554594	-0.017737638324200205	1.2339351670694123	1.4624337386900899	0.14568210578224003	-15096.527985573897	-910.0051831267147	0.0	10.0	9.0	2.0	-41.25875652693803
32280000	-16088.97004504351	-960.212278052702	-15128.757766990808	0.4088970038403766	2017.6541166947898	4.836989613253106	3.7339381984764914	13.632034837028023	18.274905441148682	0.26696653452210056	0.21625573509176793	0.28695925055474125	0.2298184798313856	0.004418981901411174	0.020552522626031817	0.9857453757287349	0.0019494442672973586	1.5870721606733929	0.06746070754778843	0.9857453757287349	0.7262822707288967	0.4027383513320984	-15098.006286356796	-910.0051831267147	0.0	11.0	8.0	3.0	-35.7750009417277
32290000	-16134.020485499232	-995.9088929224727	-15138.111592576759	0.42991651541677095	2017.6330971832133	6.481699565572489	4.467312923896657	9.740204479911467	11.47521256964219	0.27027468340492133	0.21087288224533407	0.2825707072661351	0.2362817270836049	0.0027140533505443133	0.005747690961064639	0.7524357328047835	0.0016450261823459176	1.806747119304371	0.009335536816371223	0.7524357328047835	0.25659710469323255	0.032653933610736825	-15106.173356771274	-910.0051831267147	0.0	9.0	9.0	1.0	-73.74224543132736
32300000	-16115.425335461621	-972.4563773069443	-15142.968958154677	0.3646013533741308	2017.698412345256	5.333296368495782	5.37634058801312	13.70850050423969	22.749452743451144	0.2675295554243109	0.21818218939233233	0.2810445570652837	0.23324369811806844	0.004007080670411359	0.012237253361598978	0.4430027213268728	0.0020177158315551804	2.6967226583999304	-0.03763869200689648	0.44300272132687285	1.0029357444889615	0.4539784363814022	-15104.018250466586	-910.0051831267147	0.0	10.0	9.0	1.0	-49.79399110806496
32310000	-16100.802332605263	-957.1632908479265	-15143.639041757337	0.36935950381751004	2017.6936541948126	4.579016503945113	4.35621844787998	14.098952997413353	13.523505150632376	0.26989619628362604	0.20872103205577264	0.28516747379400725	0.23621529786658946	0.0032798412332878733	0.004890344785755934	1.112668417265154	0.0022561325897616606	1.0548887401003801	-0.03463312324420201	1.1126684172651544	1.7572040218164238	1.9724034451194254	-15110.002488389255	-910.0051831267147	0.0	9.0	7.0	2.0	-30.36362025195707
32320000	-16082.484825623927	-947.3646690335631	-15135.120156590365	0.3644161760174723	2017.6985975226125	4.440875031316556	4.481284818531743	15.445299514669333	9.837934619085528	0.2683448400315934	0.21467858794866257	0.28587709882024803	0.23109947319949134	0.003710511593440639	0.008244447027880965	0.6450116596937732	0.00215846479536954	1.543727100849216	0.022543232419311936	0.6450116596937732	1.4378285673398201	0.7591494018967119	-15106.693962482348	-910.0051831267147	0.0	8.0	5.0	3.0	-25.067110300611013
32330000	-16087.855189960248	-962.1340336305293	-15125.721156329719	0.3585417113465281	2017.7044719872836	4.7147493654998325	7.405649862721407	17.086610026780118	13.665448031323807	0.2646550873119198	0.212118628336556	0.28959405726983806	0.2336322270816815	0.0023944458303235276	0.0033935381829371127	1.1291964548506936	0.001950669996830335	1.0448594622356815	0.048691106068541025	1.1291964548506925	1.6860092225080219	0.4304495865222104	-15100.018824531697	-910.0051831267147	0.0	7.0	6.0	1.0	-36.30858592218657
32340000	-16105.061025191271	-960.4857995251652	-15144.575225666105	0.4139364142897588	2017.6490772843404	4.808828751552032	4.385256035085628	14.80238664548754	23.060473869225426	0.2650826034593113	0.2180369646741954	0.28594914513472575	0.230931286731763	0.002722623600509432	0.0037720777558572544	0.9693264069482911	0.002407537370354978	1.2622034749573559	0.03434679508051091	0.9693264069482911	0.4999853803465412	0.14928256185913016	-15111.812022398493	-910.0051831267147	0.0	10.0	8.0	2.0	-36.22972627627291
32350000	-16087.366372233406	-929.9802522896961	-15157.38611994371	0.3432882245322383	2017.719725474098	3.8425424388208795	3.511089395602929	15.864299131032107	11.639050378358808	0.2701524712086447	0.21051950132207364	0.2964087118516523	0.22291931561762476	0.0033107475610514676	0.004130429045334804	1.271426863823414	0.002635752462922684	0.9277762915179087	0.022262691205551972	1.2714268638234147	0.9810622929321932	0.3382901837398216	-15123.47918279394	-910.0051831267147	0.0	9.0	7.0	2.0	-6.056210199794185
32360000	-16088.206271627412	-939.2790867922381	-15148.927184835175	0.3203097820174198	2017.7427039166128	4.033928357801483	3.8441523382260114	16.59148070070274	11.532815467904934	0.2706491826283404	0.2147309200381935	0.28384585387590516	0.23077404345755634	0.0022800049863738034	0.0031816737915789624	2.0810440613947314	0.00226441840640687	1.1052157156517148	0.048729526650129695	2.081044061394731	1.274346298801509	0.21405394804320338	-15116.681186359401	-910.0051831267147	0.0	14.0	13.0	2.0	-11.590522860424974
